1853,1854,AM,1
1904,group,BC,3
1904,1818,AM,1
1904,1848,AM,1
1904,1830,AM,1
1904,1790,AM,1
1904,1819,AM,1
1904,1851,AM,1
1904,1776,BC,1
1904,1776,AM,1
1904,1767,AM,6
1904,1901,AM,1
1904,1735,AM,2
1904,1741,AM,3
1818,1848,AM,1
1818,1904,AM,1
1818,1767,AM,1
1818,group,BC,8
1751,group,BC,12
1751,1904,BC,1
1751,1880,AM,1
1751,1773,AM,1
1751,1823,AM,1
1751,1767,AM,1
1751,1767,RT,1
1751,1795,AM,1
1751,1884,BC,1
1751,1835,AM,1
1751,1839,RT,2
1751,1888,RT,1
1751,1735,RT,1
1867,1751,BC,1
1867,1776,AM,1
1867,group,BC,2
1861,1876,AM,2
1861,1878,AM,1
1861,1767,AM,3
1861,1830,AM,1
1861,1913,AM,1
1861,1824,AM,1
1861,1846,RT,1
1861,1906,RT,1
1861,1833,AM,1
1861,1779,AM,1
1861,1735,AM,1
1861,group,BC,1
1735,1875,AM,1
1735,1883,AM,1
1735,group,BC,23
1735,group,AM,3
1735,1830,AM,1
1735,1790,AM,1
1735,1851,AM,1
1735,1839,AM,1
1735,1886,AM,1
1735,1767,AM,5
1735,1789,BC,1
1735,1872,AM,1
1735,1749,AM,1
1735,1900,AM,1
1735,1859,AM,1
1735,1879,AM,1
1735,1911,BC,1
1735,1910,BC,1
1735,1773,AM,1
1735,1918,AM,1
1735,1776,AM,1
1735,1880,AM,1
1875,1859,AM,1
1875,1834,AM,1
1875,1865,AM,1
1875,1830,AM,2
1875,1851,AM,1
1875,1896,AM,1
1875,1866,AM,1
1875,1824,AM,1
1875,1864,AM,1
1875,1825,AM,1
1875,1829,AM,1
1875,1790,AM,1
1875,1728,AM,1
1875,1753,AM,1
1875,1778,AM,1
1875,1858,AM,1
1875,1913,AM,2
1875,1782,AM,1
1875,1789,AM,1
1875,1833,AM,1
1875,1740,AM,1
1875,1739,AM,1
1875,1770,AM,1
1875,1804,AM,1
1875,1797,AM,1
1875,group,BC,2
1785,1775,AM,1
1858,1896,AM,1
1858,group,BC,22
1858,1824,AM,1
1858,1737,AM,1
1858,1880,AM,1
1858,1745,AM,1
1858,1889,BC,1
1858,1903,AM,1
1858,1759,AM,1
1858,1767,RT,1
1858,1839,RT,1
1871,1824,MT,1
1871,1735,MT,2
1871,1735,AM,1
1744,1733,AM,1
1744,1880,AM,2
1744,1880,BC,1
1744,1904,AM,1
1744,1776,AM,2
1744,1776,BC,1
1744,1886,AM,1
1744,1795,AM,1
1744,1834,BC,1
1744,1858,AM,1
1744,group,BC,7
1744,1877,BC,1
1744,1906,BC,1
1842,1859,AM,1
1842,1767,AM,1
1842,group,BC,3
1874,1835,RT,1
1874,1876,RT,1
1874,1830,RT,1
1880,1849,AM,2
1880,1790,AM,1
1880,1776,AM,1
1880,1735,AM,1
1880,1773,AM,1
1880,1839,AM,1
1880,1865,AM,1
1880,1830,AM,1
1880,1851,AM,1
1880,1896,AM,1
1880,1866,AM,1
1880,1767,AM,3
1880,1911,AM,2
1880,1823,AM,1
1835,1859,AM,1
1835,1790,AM,1
1835,1876,RT,1
1835,1830,RT,1
1895,1833,BC,1
1895,1758,AM,2
1895,1792,AM,2
1895,1767,BC,1
1895,1767,AM,3
1895,1859,AM,1
1895,1842,AM,1
1895,1878,AM,1
1895,1918,AM,1
1895,1735,AM,1
1869,1754,AM,1
1869,1751,AM,1
1869,1851,AM,1
1846,1759,BC,1
1846,1788,BC,1
1846,1760,BC,1
1846,1858,BC,1
1846,1895,AM,1
1846,1819,BC,1
1846,1761,AM,1
1846,1834,BC,1
1846,1832,BC,1
1846,1798,RT,1
1846,1767,RT,1
1846,1890,RT,1
1731,1865,AM,2
1731,1830,AM,1
1731,1851,AM,2
1731,1896,AM,1
1912,group,BC,1
1824,group,BC,4
1795,1751,AM,1
1795,1886,AM,2
1795,1774,AM,1
1795,1859,AM,1
1795,1895,AM,1
1795,1819,AM,1
1795,1782,AM,1
1795,1767,AM,1
1840,1800,RT,1
1840,1915,RT,1
1840,1767,RT,1
1840,1767,AM,3
1840,1735,AM,1
1840,1886,AM,1
1840,1849,AM,1
1840,1751,AM,4
1840,1795,AM,1
1840,1823,AM,1
1840,1797,AM,1
1779,1883,AM,1
1779,1913,AM,1
1779,1875,AM,1
1779,1735,AM,2
1779,1918,AM,2
1779,1777,AM,1
1779,1858,AM,1
1779,1903,AM,1
